trade_date,close,pct_chg,amount,adv_ratio,market_amount,ma20,ma60,return_20,volatility_20,amount_z20,next_5d_return,regime,ai_timing_read
20241008,4256.0962,5.9296,1130387437.13,0.9417712038944018,3486522475.4679933,3362.1761749999996,3378.405386666667,0.28140386904769965,0.02713518480922488,-0.6751213778899936,-0.09400663922963015,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20241009,3955.9839,-7.0514,1029032062.193,0.05523310241527804,2969403446.378996,3396.7248200000004,3387.642445,0.21162957797079396,0.03236473238535003,-0.4984809252239539,-0.03144474374630302,高波动分化,波动抬升且赚钱效应不足，适合降低换手并控制回撤
20241010,3997.7879,1.0567,717952217.513,0.5612951525360285,2165907101.258995,3432.942805,3396.9420583333335,0.22128473751157873,0.032315797806585105,-0.37479713868745534,-0.052420539869061034,趋势上行,趋势和宽度共振，适合提高权益暴露并强化动量类信号
20241011,3887.167,-2.7671,484998267.296,0.08270958083832336,1590161113.210004,3464.69291,3404.578746666667,0.19525519754548726,0.033236904732684536,-0.2944486371651989,0.009792993200446576,高波动分化,波动抬升且赚钱效应不足，适合降低换手并控制回撤
20241014,3961.3424,1.9082,534076602.216,0.9399438727782975,1653572487.695999,3499.8721400000004,3412.7983033333335,0.21597204064709796,0.033250363700675814,-0.20721687664017657,-0.006600035381945313,趋势上行,趋势和宽度共振，适合提高权益暴露并强化动量类信号
20241015,3855.9949,-2.6594,434410916.724,0.15001870557426114,1658113536.036001,3531.1046,3419.1915283333333,0.19330930763613452,0.034037952447595804,-0.12024815737952808,0.026395418728380582,高波动分化,波动抬升且赚钱效应不足，适合降低换手并控制回撤
20241016,3831.589,-0.6329,377301324.426,0.5096279678444569,1393180188.4779959,3563.03647,3425.1139,0.20001474497765637,0.033877321405434604,-0.05207372749862438,0.036961140665139336,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20241017,3788.2217,-1.1318,369170521.635,0.336322869955157,1522772602.373999,3592.6597950000005,3429.9462166666663,0.1853917033444865,0.03415310716243633,0.025524514332504345,0.037118128540365,高波动分化,波动抬升且赚钱效应不足，适合降低换手并控制回撤
20241018,3925.234,3.6168,620673701.894,0.9521584750513923,2134721873.2650013,3629.6150000000002,3437.007056666667,0.23197550733885652,0.034543913847808264,0.1531439363083034,0.00794525880495267,趋势上行,趋势和宽度共振，适合提高权益暴露并强化动量类信号
20241021,3935.1974,0.2538,600109598.949,0.7052887310783031,2233845769.9950037,3667.751135,3443.9114966666666,0.24041884400212865,0.034417957593583494,0.28724258553101634,0.007359097157362493,趋势上行,趋势和宽度共振，适合提高权益暴露并强化动量类信号
